N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1820.0,TIGER 단기선진하이일드(합성 H),13050.0,보합0,0.00%,0.0,13050.0,13050.0,13050.0
1821.0,HANARO KOFR금리액티브(합성),106570.0,상승  35,+0.03%,0.0,106595.0,106595.0,106570.0
1822.0,하나 레버리지 옥수수 선물 ETN(H),11720.0,상승  150,+1.30%,0.0,11730.0,11770.0,11720.0
1823.0,파워 코스피100,24410.0,하락  170,-0.69%,0.0,24545.0,24545.0,24215.0
1824.0,N2 월간 레버리지 코스닥 150 선물 ETN,11715.0,하락  495,-4.05%,0.0,11765.0,11775.0,11715.0
1825.0,TIGER K게임,6885.0,하락  100,-1.43%,0.0,6985.0,6985.0,6825.0
1826.0,KODEX 미국ETF산업Top10 Indxx,18005.0,상승  95,+0.53%,0.0,18110.0,18150.0,17970.0
1827.0,미래에셋 S&P 유럽탄소배출권 선물 ETN,11695.0,상승  130,+1.12%,0.0,11255.0,11695.0,11255.0
1828.0,메리츠 인버스 국채30년 ETN,11680.0,하락  5,-0.04%,0.0,11680.0,11680.0,11680.0
1829.0,LX홀딩스1우,7970.0,상승  60,+0.76%,1000.0,7910.0,8050.0,7650.0
1830.0,VITA MZ소비액티브,7750.0,하락  45,-0.58%,0.0,7840.0,7895.0,7750.0
1831.0,메리츠 KAP 중국 위안화 ETN,11600.0,상승  130,+1.13%,0.0,11605.0,11605.0,11600.0
1832.0,KODEX MSCI퀄리티,8275.0,하락  105,-1.25%,0.0,8275.0,8275.0,8275.0
1833.0,KODEX 필수소비재,6385.0,하락  120,-1.84%,0.0,6475.0,6475.0,6340.0
1834.0,WON 미국빌리어네어,13510.0,하락  60,-0.44%,0.0,13655.0,13655.0,13485.0
1835.0,메리츠 국채5년 ETN,11395.0,보합0,0.00%,0.0,11395.0,11395.0,11395.0
1836.0,KB 레버리지 KOSPI 200 선물 ETN,22770.0,하락  130,-0.57%,0.0,22955.0,22955.0,22455.0
1837.0,KOSEF 물가채KIS,113760.0,하락  15,-0.01%,0.0,113665.0,113760.0,113405.0
1838.0,신한 S&P 인버스 유로 선물 ETN(H),11370.0,하락  10,-0.09%,0.0,11370.0,11370.0,11370.0
1839.0,신한 인버스 구리 선물 ETN(H),5685.0,하락  55,-0.96%,0.0,5685.0,5685.0,5685.0
1840.0,메리츠 블룸버그 레버리지 WTI선물 ETN(H),11360.0,하락  160,-1.39%,0.0,11395.0,11395.0,11335.0
1841.0,메리츠 레버리지 인도 루피화 ETN,22710.0,보합0,0.00%,0.0,22710.0,22710.0,22710.0
1842.0,메리츠 인버스 2X 금 선물 ETN(H),11335.0,보합0,0.00%,0.0,11335.0,11335.0,11335.0
1843.0,메리츠 레버리지 국채3년 ETN,11330.0,보합0,0.00%,0.0,11330.0,11330.0,11330.0
1844.0,KB S&P 레버리지 WTI원유 선물 ETN(H),11300.0,하락  195,-1.70%,0.0,11335.0,11335.0,11290.0
1845.0,미래에셋 -2X 홍콩H 선물 ETN(H),11200.0,상승  15,+0.13%,0.0,10935.0,11235.0,10935.0
1846.0,KODEX KRX300레버리지,11190.0,하락  70,-0.62%,0.0,11210.0,11210.0,11120.0
1847.0,메리츠 레버리지 대표 농산물 선물 ETN(H),11180.0,상승  380,+3.52%,0.0,11030.0,11205.0,11030.0
1848.0,ACE 멕시코MSCI(합성),12410.0,상승  20,+0.16%,0.0,12410.0,12565.0,12385.0
1849.0,메리츠 3X 레버리지 국채10년 ETN,22300.0,하락  85,-0.38%,0.0,22410.0,22410.0,22140.0
1850.0,미래에셋 천연가스 선물 ETN(H),1858.0,상승  1,+0.05%,0.0,1822.0,1858.0,1796.0
1851.0,메리츠 3X 레버리지 국채5년 ETN,22290.0,보합0,0.00%,0.0,22290.0,22290.0,22290.0
1852.0,넥센우,3090.0,하락  10,-0.32%,500.0,3085.0,3090.0,3085.0
1853.0,한투 블룸버그 WTI원유 선물 ETN,11105.0,하락  55,-0.49%,0.0,11100.0,11105.0,11095.0
1854.0,메리츠 국채3년 ETN,11085.0,보합0,0.00%,0.0,11085.0,11085.0,11085.0
1855.0,삼양사우,29950.0,"하락  1,200",-3.85%,5000.0,30250.0,30250.0,29950.0
1856.0,메리츠 레버리지 멕시코 페소화 ETN,22165.0,보합0,0.00%,0.0,22165.0,22165.0,22165.0
1857.0,KB 인버스 2X 미국채 10년 선물 ETN,22150.0,보합0,0.00%,0.0,22150.0,22150.0,22150.0
1858.0,KODEX 미국클린에너지나스닥,6915.0,상승  40,+0.58%,0.0,6945.0,6950.0,6895.0
1859.0,삼성 블룸버그 WTI원유 선물 ETN,11050.0,하락  45,-0.41%,0.0,11070.0,11155.0,11040.0
1860.0,메리츠 3X 레버리지 국채3년 ETN,22070.0,보합0,0.00%,0.0,22070.0,22070.0,22070.0
1861.0,메리츠 미국채10년 ETN,11025.0,상승  100,+0.92%,0.0,11010.0,11110.0,11010.0
1862.0,N2 iSelect-WG 그린에너지 ESG ETN,11015.0,보합0,0.00%,0.0,11015.0,11015.0,11015.0
1863.0,PLUS 글로벌수소&차세대연료전지,3790.0,상승  15,+0.40%,0.0,3725.0,3800.0,3725.0
1864.0,N2 인버스 레버리지 금 선물 ETN(H),10970.0,하락  15,-0.14%,0.0,10915.0,10970.0,10915.0
1865.0,KODEX MSCI밸류,9960.0,보합0,0.00%,0.0,9960.0,9960.0,9960.0
1866.0,메리츠 미국채30년 ETN,10925.0,상승  165,+1.53%,0.0,10790.0,10925.0,10790.0
1867.0,SOL 국고채30년액티브,54605.0,하락  325,-0.59%,0.0,54555.0,54690.0,54495.0
